CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_ID_PUBLISH,FLAG_PHONE,CNT_FAM_MEMBERS,HOUR_APPR_PROCESS_START,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,NONLIVINGAREA_AVG,FLOORSMAX_MODE,FLOORSMIN_MODE,FLOORSMAX_MEDI,OBS_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,AMT_REQ_CREDIT_BUREAU_YEAR,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Married,EMERGENCYSTATE_MODE_No,DAYS_EMPLOYED_PERC,ANNUITY_INCOME_PERC,PAYMENT_RATE,BURO_DAYS_CREDIT_MIN,BURO_DAYS_CREDIT_ENDDATE_MAX,BURO_AMT_CREDIT_SUM_SUM,BURO_AMT_CREDIT_SUM_DEBT_SUM,BURO_CREDIT_ACTIVE_Closed_MEAN,BURO_CREDIT_TYPE_Consumer credit_MEAN,BURO_CREDIT_TYPE_Credit card_MEAN,ACTIVE_DAYS_CREDIT_MAX,ACTIVE_DAYS_CREDIT_MEAN,ACTIVE_DAYS_CREDIT_ENDDATE_MIN,ACTIVE_DAYS_CREDIT_ENDDATE_MAX,ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,ACTIVE_MONTHS_BALANCE_SIZE_SUM,CLOSED_DAYS_CREDIT_MAX,CLOSED_AMT_CREDIT_SUM_SUM,CLOSED_AMT_ANNUITY_MAX,PREV_APP_CREDIT_PERC_MIN,PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_VAR,PREV_HOUR_APPR_PROCESS_START_MAX,PREV_RATE_DOWN_PAYMENT_MAX,PREV_CNT_PAYMENT_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,PREV_NAME_CLIENT_TYPE_New_MEAN,PREV_NAME_GOODS_CATEGORY_XNA_MEAN,PREV_NAME_PRODUCT_TYPE_XNA_MEAN,PREV_CHANNEL_TYPE_Country-wide_MEAN,PREV_NAME_YIELD_GROUP_high_MEAN,PREV_NAME_YIELD_GROUP_low_normal_MEAN,PREV_NAME_YIELD_GROUP_middle_MEAN,APPROVED_AMT_ANNUITY_MEAN,APPROVED_APP_CREDIT_PERC_MAX,APPROVED_AMT_DOWN_PAYMENT_MAX,APPROVED_HOUR_APPR_PROCESS_START_MIN,APPROVED_HOUR_APPR_PROCESS_START_MAX,APPROVED_RATE_DOWN_PAYMENT_MIN,APPROVED_DAYS_DECISION_MIN,APPROVED_CNT_PAYMENT_MEAN,REFUSED_CNT_PAYMENT_SUM,POS_MONTHS_BALANCE_MAX,POS_MONTHS_BALANCE_SIZE,INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,INSTAL_DPD_MAX,INSTAL_DPD_SUM,INSTAL_DBD_SUM,INSTAL_PAYMENT_PERC_VAR,INSTAL_PAYMENT_DIFF_MAX,INSTAL_AMT_PAYMENT_MIN,INSTAL_AMT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_SUM,INSTAL_DAYS_ENTRY_PAYMENT_MEAN,CC_AMT_DRAWINGS_ATM_CURRENT_SUM,CC_CNT_DRAWINGS_ATM_CURRENT_MAX,CC_CNT_DRAWINGS_ATM_CURRENT_SUM,CC_CNT_INSTALMENT_MATURE_CUM_MIN
0,0,0,0.0,90000.0,101880.0,9922.5,90000.0,0.007305,-23417.0,-1525.0,-4343.0,0.0,1.0,7.0,0.5059979305057544,0.6130589964452773,0.7713615919194317,0.001,0.1667,0.2083,0.1667,0.0,0.0,-351.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1124933475252794,0.11025,0.0973939929328621,-1352.0,-986.0,71239.5,0.0,1.0,1.0,0.0,-232.0,-518.0,271.0,889.0,584.0,0.0,-1352.0,71239.5,4611.51,0.904507998061076,0.904507998061076,0.0068980835601896,7.0,0.0,12.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6719.4,0.904507998061076,0.0,7.0,7.0,0.0,-351.0,12.0,18.0,-3.0,9.0,2.0,0.0,0.0,100.0,0.0,0.0,6719.4,9804.729375,78437.83499999999,-227.5,45000.0,3.0,2.0,0.0
1,0,0,0.0,135000.0,547344.0,17919.0,472500.0,0.015221,-22091.0,-1525.0,-4019.0,1.0,2.0,15.0,0.5059979305057544,0.5416666446314465,0.7886807751817684,0.001,0.3333,0.2083,0.3333,0.0,0.0,-1794.0,0.0,4.0,0.0,1.0,1.0,1.0,0.1124933475252794,0.1327333333333333,0.0327380952380952,-2905.0,-9.0,1966150.98,13500.0,0.875,1.0,0.0,-232.0,-518.0,271.0,889.0,584.0,0.0,-1229.0,1831150.98,4611.51,0.9099181073703366,0.9351912466099316,0.0068980835601896,15.0,0.1042815951254011,15.0,0.0,0.4285714285714285,0.4285714285714285,0.0,1.0,0.4285714285714285,0.1428571428571428,0.0,0.2857142857142857,0.1428571428571428,21233.25,0.9351912466099316,4698.0,10.0,15.0,0.0,-2511.0,14.0,18.0,-1.0,27.0,3.0,21.0,0.0,476.0,0.0516747091783444,9434.43,0.0,9154.927276119402,1226760.255,-1384.3955223880596,135000.0,2.0,4.0,1.0
1,1,0,2.0,225000.0,528687.0,41899.5,436500.0,0.020246,-13554.0,-1661.0,-2525.0,0.0,4.0,12.0,0.4850221199786025,0.4268906119071837,0.3506958432829587,0.001,0.1667,0.2083,0.1667,0.0,0.0,-1144.0,1.0,2.0,1.0,1.0,1.0,0.0,0.1225468496384831,0.18622,0.0792519959825,-1822.0,641.0,4908792.6,120051.0,0.9166666666666666,0.75,0.1666666666666666,-232.0,-518.0,271.0,889.0,584.0,0.0,-261.0,408792.6,10573.65,0.8515695067264574,0.991190364727412,0.0097469919944613,10.0,0.098214695549939,8.0,0.0,1.0,0.5,0.5,0.0,1.0,1.0,0.0,0.5,0.5,7954.83,0.991190364727412,10480.5,8.0,10.0,0.0,-1144.0,8.0,18.0,-1.0,13.0,2.0,0.0,0.0,77.0,0.0,0.0,3698.145,9026.906785714284,126376.695,-503.2142857142857,45000.0,3.0,2.0,0.0
1,0,0,0.0,157500.0,180000.0,9000.0,180000.0,0.019101,-20009.0,-190.0,-3553.0,0.0,1.0,15.0,0.5059979305057544,0.4833831757149026,0.6879328378491735,0.001,0.1667,0.2083,0.1667,0.0,0.0,-2022.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0094957269228847,0.0571428571428571,0.05,-1262.0,1353.0,259740.0,135531.0,0.6666666666666666,1.0,0.0,-473.0,-473.0,1353.0,1353.0,1353.0,0.0,-1219.0,52740.0,4611.51,0.9099181073703366,0.9044626521358684,0.0068980835601896,20.0,0.0,22.5,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.0,0.8571428571428571,0.5714285714285714,0.1428571428571428,0.0,0.0,0.4285714285714285,7673.25375,0.9044626521358684,0.0,10.0,20.0,0.0,-2855.0,22.5,18.0,-1.0,35.0,4.0,15.0,0.0,246.0,0.0,126.045,4.455,5499.555576923077,714942.225,-1226.069230769231,126000.0,3.0,7.0,1.0
1,0,0,0.0,247500.0,562500.0,18274.5,562500.0,0.026392,-15025.0,-435.0,-4339.0,0.0,2.0,14.0,0.5059979305057544,0.6343281513556357,0.5352762504724826,0.001,0.0,0.2083,0.0,4.0,4.0,-200.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0289517470881863,0.0738363636363636,0.032488,-748.0,295.0,877500.0,336599.64,0.3333333333333333,0.3333333333333333,0.0,-427.0,-587.5,295.0,295.0,295.0,0.0,-595.0,157500.0,4611.51,0.8826281134706703,1.1866515837104072,0.0195420511236075,17.0,0.2009392821200938,9.75,0.1428571428571428,0.5714285714285714,0.2857142857142857,0.1428571428571428,0.7142857142857143,0.7142857142857143,0.0,0.2857142857142857,0.1428571428571428,0.0,7979.00625,1.1866515837104072,9000.0,10.0,17.0,0.0898527145835221,-2317.0,9.75,18.0,-2.0,23.0,3.0,0.0,0.0,235.0,0.0,0.0,2259.405,7496.104090909092,164914.29,-1285.6818181818182,0.0,3.0,0.0,0.0
1,0,0,0.0,112500.0,343800.0,12478.5,225000.0,0.00702,-20068.0,-5797.0,-3374.0,0.0,2.0,12.0,0.5059979305057544,0.6791119893015655,0.813917469762627,0.001,0.1667,0.2083,0.1667,2.0,2.0,-954.0,1.0,3.0,0.0,1.0,1.0,0.0,0.288867849312338,0.11092,0.0362958115183246,-2459.0,-867.0,116862.84,0.0,1.0,0.6666666666666666,0.3333333333333333,-232.0,-518.0,271.0,889.0,584.0,0.0,-1972.0,116862.84,4611.51,1.0,1.0,0.0,15.0,0.1042815951254011,18.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0666666666666666,0.0,29974.5,1.0,4698.0,15.0,15.0,0.0,-671.0,18.0,18.0,-6.0,17.0,2.0,0.0,0.0,74.0,0.0,0.0,1667.385,33604.250625,537668.01,-416.625,45000.0,3.0,2.0,0.0
1,0,0,0.0,76500.0,225000.0,10039.5,225000.0,0.028663,-16363.0,-718.0,-4226.0,0.0,2.0,13.0,0.3723543425378181,0.4745372623123482,0.4794489811780563,0.0222,0.1667,0.2083,0.1667,0.0,0.0,-875.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0438794842021634,0.131235294117647,0.04462,-749.0,1625.0,1050448.5,243060.48,0.4,0.6,0.4,-175.0,-352.6666666666667,43.0,1625.0,1106.75,0.0,-545.0,420448.5,4611.51,0.8171653977711574,1.3130891146171026,0.1229701664651486,14.0,0.3078155229490605,10.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,5948.145,1.0232990503919828,24610.455,12.0,12.0,0.0001165513766945,-875.0,10.0,18.0,-10.0,22.0,1.0,0.0,0.0,132.0,0.0,0.0,4891.68,5946.33375,118926.675,-579.1,45000.0,3.0,2.0,0.0
1,1,0,0.0,157500.0,202500.0,10125.0,202500.0,0.01885,-22286.0,-1525.0,-5181.0,1.0,2.0,16.0,0.5059979305057544,0.7756644943866192,0.3774042489507649,0.0127,0.4583,0.5,0.4583,0.0,0.0,-350.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1124933475252794,0.0642857142857142,0.05,-2870.0,601.0,3482109.0,477000.0,0.5,0.5,0.0,-130.0,-130.0,601.0,601.0,601.0,0.0,-694.0,360000.0,4611.51,1.0212765957446808,1.0212765957446808,0.0068980835601896,13.0,0.1009284731214319,10.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1111111111111111,0.0,0.0,12593.25,1.0212765957446808,9310.5,13.0,13.0,0.1009284731214319,-350.0,10.0,18.0,-3.0,9.0,2.0,0.0,0.0,139.0,0.0,0.0,12593.25,13907.73,125169.57,-214.44444444444449,45000.0,3.0,2.0,0.0
1,0,1,0.0,202500.0,450000.0,23562.0,450000.0,0.0228,-10835.0,-1706.0,-2056.0,1.0,2.0,9.0,0.6201508877337298,0.3396058330996216,0.5352762504724826,0.0308,0.1667,0.625,0.1667,0.0,0.0,-1380.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1574526995846792,0.1163555555555555,0.05236,-1827.0,641.0,829531.3725,120051.0,0.625,0.75,0.1666666666666666,-232.0,-518.0,271.0,889.0,584.0,0.0,-694.0,360000.0,4611.51,1.0,1.0110271672771671,4.053280605287638e-05,17.0,0.1000100807086737,12.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.0,8025.345,1.0110271672771671,11925.0,15.0,17.0,0.0,-1380.0,12.0,18.0,-34.0,13.0,1.0,6.0,6.0,131.0,0.0565033627850554,11014.56,1837.215,11845.966153846151,153997.56,-1180.923076923077,45000.0,3.0,2.0,0.0
0,1,1,0.0,112500.0,270000.0,13783.5,270000.0,0.0105,-20697.0,-1525.0,-4197.0,0.0,1.0,17.0,0.5059979305057544,0.3942629165583533,0.5352762504724826,0.0069999999999999,0.0417,0.2083,0.0625,1.0,1.0,-729.0,1.0,1.0,0.0,1.0,0.0,1.0,0.1124933475252794,0.12252,0.05105,-2847.0,868.0,865336.5,564988.5,0.5,0.5,0.0,-958.0,-958.0,868.0,868.0,868.0,0.0,-694.0,15367.5,4611.51,1.1946661475569398,1.1946661475569398,0.0068980835601896,18.0,0.1774630779030321,6.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.1111111111111111,0.0,0.0,4714.38,1.1946661475569398,4500.0,18.0,18.0,0.1774630779030321,-729.0,6.0,18.0,-17.0,8.0,1.0,0.0,0.0,179.0,0.0,0.0,4714.335,4714.3725,28286.235,-626.8333333333334,45000.0,3.0,2.0,0.0
